"","FID","zipcodes_1","zipcodes_5","CaseZipJef","CaseZipJ_1","CaseZipJ_2","CaseZipJ_3","CaseZipJ_4","CaseZipJ_5","CaseZipJ_6","CaseZipJ_7","CaseZipJ_8","CaseZipJ_9","Shape__Area","Shape__Length","TotalCovid","Covid"
"1",1,"63069",186852541.42,0,"Pacific","63069",63069,186852541.814,135243.547215,186852541.42,1,0,0,305416362.621094,172894.716830316,1,1
"2",2,"63026",65750895.6227,1,"Fenton","63026",63026,65750895.666,50674.247937,65750895.6227,3,0,0,107480592.679688,64797.3140643671,3,3
"3",3,"63025",110249583.555,2,"Eureka","63025",63025,110249583.008,117339.102336,110249583.555,2,0,0,180184131.3125,149987.238933037,2,2
"4",4,"63049",69452529.0174,3,"High Ridge","63049",63049,69452528.743,50411.090072,69452529.0174,3,0,0,113463831.421875,64435.6282257487,3,3
"5",5,"63010",60136616.8245,4,"Arnold","63010",63010,60136616.7966,49818.520497,60136616.8245,6,0,0,98101927.6171875,63624.5441458542,6,6
"6",6,"63052",78183661.4721,5,"Imperial","63052",63052,78183661.3688,59937.531829,78183661.4721,4,0,0,127394921.210938,76526.6833706983,4,4
"7",7,"63051",111908822.359,6,"Hse Springs","63051",63051,111908822.237,97966.799521,111908822.359,7,0,0,182445383.640625,125092.830340066,0,0
"8",8,"63072",99528647.6346,7,"Robertsville","63072",63072,99528647.3427,67875.935904,99528647.6346,0,0,0,162139452.179688,86643.7875466788,0,0
"9",9,"63015",53633180.3362,8,"Cattawissa","63015",63015,53633180.3084,38145.795258,53633180.3362,0,0,0,87426862.71875,48703.1626645558,0,0
"10",10,"63016",76382823.7868,9,"Cedar Hill","63016",63016,76382823.7319,67331.93345,76382823.7868,1,0,0,124370420.765625,85918.9933811156,1,1
"11",11,"63012",70198441.1601,10,"Barnhart","63012",63012,70198441.089,52978.838134,70198441.1601,4,0,0,114223229.257813,67585.1199311692,4,4
"12",12,"63050",239498315.401,11,"Hillsboro","63050",63050,239498315.459,108150.874286,239498315.401,3,0,0,388947438.34375,137869.069941916,3,3
"13",13,"63023",162096850.428,12,"Dittmer","63023",63023,162096850.533,77558.423961,162096850.428,2,0,0,263298450.226563,98888.9710098204,2,2
"14",14,"63070",39535689.9826,13,"Pevely","63070",63070,39535690.159,39208.093392,39535689.9826,1,0,0,64238722.8125,49993.7326220777,1,1
"15",15,"63048",4663312.69086,14,"Herculaneum","63048",63048,4663312.6041,13651.648005,4663312.69086,1,0,0,7571680.15625,17406.9056567176,1,1
"16",16,"63028",310483085.729,15,"Festus","63028",63028,310483085.783,132732.064892,310483085.729,7,0,0,502570101.378906,168854.328687953,7,7
"17",17,"63019",10600971.2035,16,"Crystal City","63019",63019,10600971.2893,19149.949931,10600971.2035,1,0,0,17200929.0390625,24414.9888273442,1,1
"18",18,"63020",387121302.031,17,"De Soto","63020",63020,387121302.046,136949.87862,387121302.031,3,0,0,626058469.375,174157.202587972,3,3
"19",19,"63030",49682563.0559,18,"Fletcher","63030",63030,49682562.9903,43758.187416,49682563.0559,0,0,0,80396131.9492188,55667.9763700972,0,0
"20",20,"63627",160458802.789,19,"Bloomsdale","63627",63627,160458802.918,90895.251911,160458802.789,0,0,0,259053348.457031,115455.704534666,0,0
"21",21,"63087",56355133.2106,20,"Valles Mines","63087",63087,56355133.2215,38147.85108,56355133.2106,0,0,0,90869023.734375,48451.3690746809,0,0
"22",22,"63053",207288.407195,21,"Kimmswick","63053",63053,0,2819.139646,207288.407195,0,0,0,337547.48828125,3595.29846123101,0,0
"23",23,"00001",0,22,"Unknown","1",1,0,0,0,0,0,1,NA,NA,0,0
