"","FID","Clipped_Zi","Clipped__1","Clipped__2","Clipped__3","Clipped__4","Clipped__5","sheet1__Cn","sheet1__ca","Shape__Area","Shape__Length","JeffcoCases","ZipCode","Recovered"
"1",1,"Pacific","63069",63069,186852541.814,135243.547215,186852541.42,63069,1,47476921.8046875,47696.1873001073,"63069","63069","1"
"2",2,"Fenton","63026",63026,65750895.666,50674.2479371,65750895.6227,63026,27,51922449.4492188,49463.6297395835,"63026","63026","21"
"3",3,"Eureka","63025",63025,110249583.008,117339.102336,110249583.555,63025,4,70167004.9648438,78907.23454393,"63025","63025","4"
"4",4,"High Ridge","63049",63049,69452528.743,50411.0900722,69452529.0174,63049,13,95460747.8867188,57280.4629639965,"63049","63049","10"
"5",5,"Arnold","63010",63010,60136616.7966,49818.5204969,60136616.8245,63010,39,98101929.8984375,63624.5440569243,"63010","63010","31"
"6",6,"Imperial","63052",63052,78183661.3688,59937.5318286,78183661.4721,63052,27,127394922.746094,76526.6839600272,"63052","63052","23"
"7",7,"Hse Springs","63051",63051,111908822.237,97966.7995214,111908822.359,63051,17,182445382.84375,125092.829283932,"63051","63051","11"
"8",8,"Robertsville","63072",63072,99528647.3427,67875.9359036,99528647.6346,63072,0,5203487.67578125,16788.0360821996,"63072","63072","0"
"9",9,"Cattawissa","63015",63015,53633180.3084,38145.7952575,53633180.3362,63015,0,40506195.359375,33616.540969179,"63015","63015","0"
"10",10,"Cedar Hill","63016",63016,76382823.7319,67331.9334498,76382823.7868,63016,20,124370420.21875,85918.9929818799,"63016","63016","9"
"11",11,"Barnhart","63012",63012,70198441.089,52978.8381338,70198441.1601,63012,12,114223229.375,67585.120437141,"63012","63012","12"
"12",12,"Hillsboro","63050",63050,239498315.459,108150.874286,239498315.401,63050,13,388947437.480469,137869.070814913,"63050","63050","10"
"13",13,"Dittmer","63023",63023,162096850.533,77558.4239615,162096850.428,63023,2,263257275.21875,98891.0389228782,"63023","63023","1"
"14",14,"Pevely","63070",63070,39535690.159,39208.0933918,39535689.9826,63070,9,64238722.8085938,49993.7326220793,"63070","63070","7"
"15",15,"Herculaneum","63048",63048,4663312.6041,13651.6480051,4663312.69086,63048,4,7571680.1640625,17406.9056567221,"63048","63048","3"
"16",16,"Festus","63028",63028,310483085.783,132732.064892,310483085.729,63028,102,423739415.722656,133280.957396124,"63028","63028","28"
"17",17,"Crystal City","63019",63019,10600971.2893,19149.9499311,10600971.2035,63019,9,17200929.03125,24414.9888273515,"63019","63019","7"
"18",18,"De Soto","63020",63020,387121302.046,136949.87862,387121302.031,63020,23,612040698.648438,168477.4366174,"63020","63020","17"
"19",19,"Fletcher","63030",63030,49682562.9903,43758.1874163,49682563.0559,63030,0,1590878.0859375,16610.427458396,"63030","63030","0"
"20",20,"Bloomsdale","63627",63627,160458802.918,90895.2519109,160458802.789,63627,0,21200971.0820313,31737.2615533967,"63627","63627","0"
"21",21,"Valles Mines","63087",63087,56355133.2215,38147.8510796,56355133.2106,63087,0,11776911.5820313,17037.5202716083,"63087","63087","0"
"22",22,"Kimmswick","63053",63053,0,2819.13964571,207288.407195,63053,0,337547.48046875,3595.29846122581,"63053","63053","0"
