"","GEOID10","cases_num","pop_num","rate_num"
"1","97836",9,1842,0.00488599
"2","97838",33,26057,0.00126645
"3","97845",9,2857,0.00315016
"4","97850",9,17180,0.00052387
"5","97862",9,11296,0.00079674
"6","97875",9,3160,0.0028481
"7","97882",16,8110,0.00197287
"8","97886",9,1180,0.00762712
"9","97914",9,19211,0.00046848
"10","97918",9,4141,0.00217339
"11","97477",9,37031,0.00024304
"12","97478",9,39440,0.0002282
"13","97479",9,9550,0.00094241
"14","97487",9,8878,0.00101374
"15","97495",9,1858,0.00484392
"16","97496",9,7332,0.0012275
"17","97501",9,45607,0.00019734
"18","97502",13,28300,0.00045936
"19","97503",9,12338,0.00072945
"20","97504",12,47645,0.00025186
"21","97520",10,25030,0.00039952
"22","97523",9,5586,0.00161117
"23","97524",9,14790,0.00060852
"24","97526",12,35493,0.0003381
"25","97527",9,35822,0.00025124
"26","97540",9,8349,0.00107797
"27","97601",14,22451,0.00062358
"28","97603",18,28929,0.00062221
"29","97002",9,5795,0.00155306
"30","97004",9,4213,0.00213625
"31","97005",21,26442,0.00079419
"32","97003",24,30207,0.00060414
"33","97007",32,45184,0.00044082
"34","97008",15,29772,0.00050383
"35","97009",9,8470,0.00106257
"36","97013",24,23596,0.00101712
"37","97014",9,1202,0.00748752
"38","97015",16,23027,0.00069484
"39","97023",9,10032,0.00089713
"40","97024",21,10383,0.00202254
"41","97026",26,4528,0.00574205
"42","97027",9,12568,0.0007161
"43","97030",71,37386,0.00189911
"44","97031",9,19161,0.0004697
"45","97032",15,5131,0.00292341
"46","97034",9,18977,0.00047426
"47","97035",9,26014,0.00034597
"48","97038",27,15587,0.00173221
"49","97041",9,2825,0.00318584
"50","97042",9,3148,0.00285896
"51","97045",22,55968,0.00039308
"52","97048",9,7579,0.00118749
"53","97051",9,16110,0.00055866
"54","97053",9,3218,0.00279677
"55","97055",13,18392,0.00070683
"56","97056",9,11434,0.00078713
"57","97058",12,20470,0.00058622
"58","97060",23,22609,0.00101729
"59","97062",17,28652,0.00059333
"60","97068",9,29693,0.0003031
"61","97070",12,24339,0.00049304
"62","97071",155,29460,0.00526137
"63","97080",48,44722,0.0010733
"64","97086",26,31000,0.00083871
"65","97089",9,13662,0.00065876
"66","97101",9,4024,0.00223658
"67","97103",9,17907,0.0005026
"68","97106",9,5125,0.0017561
"69","97113",36,14838,0.0024262
"70","97114",9,5092,0.00176748
"71","97115",9,3989,0.0022562
"72","97116",55,26767,0.00205477
"73","97119",9,4649,0.0019359
"74","97123",81,48770,0.00166086
"75","97124",42,54101,0.00077633
"76","97128",11,38160,0.00028826
"77","97131",9,2661,0.00338219
"78","97132",21,29546,0.00071076
"79","97133",9,4286,0.00209986
"80","97138",9,10293,0.00087438
"81","97140",13,25422,0.00051137
"82","97141",9,13816,0.00065142
"83","97201",9,18145,0.000496
"84","97202",11,42822,0.00025688
"85","97203",25,34365,0.00072748
"86","97204",9,1100,0.00818182
"87","97205",9,7284,0.00123559
"88","97206",27,51698,0.00052226
"89","97913",9,4947,0.00181928
"90","97209",9,17585,0.0005118
"91","97210",9,12059,0.00074633
"92","97211",14,34962,0.00040044
"93","97212",9,26699,0.00033709
"94","97213",32,32845,0.00097427
"95","97214",40,26207,0.00152631
"96","97215",9,18676,0.0004819
"97","97216",10,16870,0.00059277
"98","97217",20,34813,0.0005745
"99","97218",9,15647,0.00057519
"100","97219",21,42813,0.00049051
"101","97220",34,30695,0.00110767
"102","97221",9,12328,0.00073005
"103","97222",19,36988,0.00051368
"104","97223",35,49524,0.00070673
"105","97224",21,34625,0.0006065
"106","97225",21,26117,0.00080407
"107","97227",9,4759,0.00189115
"108","97229",27,67339,0.00040096
"109","97230",42,40131,0.00104657
"110","97231",9,4019,0.00223936
"111","97232",9,12419,0.0007247
"112","97233",49,41047,0.00119375
"113","97236",159,40866,0.00389077
"114","97239",9,17666,0.00050945
"115","97266",28,34953,0.00080108
"116","97267",22,32174,0.00068378
"117","97301",60,55448,0.0010821
"118","97302",33,38397,0.00085944
"119","97303",66,40633,0.0016243
"120","97304",30,31701,0.00094634
"121","97305",56,43590,0.0012847
"122","97306",18,32255,0.00055805
"123","97317",41,24516,0.00167238
"124","97321",20,26382,0.00075809
"125","97322",34,36352,0.0009353
"126","97325",9,6948,0.00129534
"127","97327",9,3341,0.0026938
"128","97330",24,42614,0.00056319
"129","97331",9,2768,0.00325145
"130","97333",9,22994,0.00039141
"131","97338",9,21542,0.00041779
"132","97341",9,2532,0.0035545
"133","97348",9,1442,0.00624133
"134","97351",9,10585,0.00085026
"135","97352",9,6556,0.00137279
"136","97355",35,29701,0.00117841
"137","97361",9,12091,0.00074436
"138","97362",9,4393,0.00204871
"139","97365",9,11289,0.00079724
"140","97367",9,9431,0.0009543
"141","97370",9,8526,0.0010556
"142","97374",9,4993,0.00180252
"143","97375",9,1592,0.00565327
"144","97381",25,15822,0.00158008
"145","97383",14,9952,0.00140675
"146","97385",12,3546,0.0033841
"147","97386",9,14119,0.00063744
"148","97389",9,1708,0.00526932
"149","97392",9,6671,0.00134912
"150","97396",9,3298,0.00272893
"151","97401",9,44750,0.00020112
"152","97402",16,51489,0.00031075
"153","97404",9,34390,0.0002617
"154","97405",10,46270,0.00021612
"155","97408",9,13069,0.00068865
"156","97415",9,14059,0.00064016
"157","97417",9,2416,0.00372517
"158","97420",9,27764,0.00032416
"159","97424",9,17854,0.00050409
"160","97426",9,9635,0.00093409
"161","97444",9,5732,0.00157013
"162","97448",9,12889,0.00069827
"163","97457",9,10189,0.00088331
"164","97459",24,13427,0.00178744
"165","97462",9,3765,0.00239044
"166","97467",9,4982,0.0018065
"167","97469",9,2878,0.00312717
"168","97470",9,20269,0.00044403
"169","97471",9,30350,0.00029654
"170","97624",9,3459,0.00260191
"171","97632",9,1614,0.00557621
"172","97633",9,1220,0.00737705
"173","97703",10,28000,0.00045452
"174","97702",24,47672,0.00050344
"175","97707",9,6381,0.00141044
"176","97720",9,4360,0.00206422
"177","97734",9,3178,0.00283197
"178","97741",9,12341,0.00072928
"179","97754",9,19803,0.00045448
"180","97756",9,37540,0.00023974
"181","97760",9,7117,0.00126458
"182","97761",10,4290,0.002331
"183","97801",9,20940,0.0004298
"184","97813",9,1453,0.00619408
"185","97818",9,4176,0.00215517
"186","97006",44,42624,0.00060414
"187","97006",44,72831,0.00060414
"188","97078",32,27408,0.00044082
"189","97701",31,40204,0.00045452
