"","FID","ZCTA5CE10","GEOID10","POP10","OID_","AS_CHARACT","N","YEAR","POPULATION","ZIP_RATE","Shape__Area","Shape__Length"
"1",1,"99001","5399001",6151,0,"99001",5,2018,7241,69.0512360171,40504094.5625,33125.3346842865
"2",2,"99003","5399003",4848,1,"99003",2,2018,5234,38.211692778,404625732.921875,148012.442746356
"3",3,"99004","5399004",18376,2,"99004",10,2018,20664,48.3933410763,1926527156.52344,263001.871345414
"4",4,"99005","5399005",8574,3,"99005",6,2018,9585,62.5978090767,227977438.015625,114066.008647582
"5",5,"99006","5399006",11946,4,"99006",5,2018,13170,37.9650721336,1063574054.80469,276513.448424308
"6",6,"99016","5399016",12480,5,"99016",7,2018,16009,43.72540446,144023537.359375,82090.655398278
"7",7,"99019","5399019",9502,6,"99019",7,2018,11023,63.5035834165,131558079.5,69969.0626415462
"8",8,"99021","5399021",9174,7,"99021",3,2018,9569,31.3512383739,483618973.039063,185553.44020716
"9",9,"99022","5399022",8820,8,"99022",4,2018,9433,42.4043252412,402974514.726563,192462.079425144
"10",10,"99025","5399025",5232,9,"99025",3,2018,5325,56.338028169,266132876.609375,105642.57156763
"11",11,"99027","5399027",6101,10,"99027",2,2018,6475,30.888030888,87003817.4296875,65980.9051537994
"12",12,"99030","5399030",1032,11,"99030",1,2018,989,101.11223458,444323923.085938,109498.350168093
"13",13,"99036","5399036",1448,12,"99036",1,2018,1570,63.6942675159,232094142.460938,111006.304059848
"14",14,"99037","5399037",12973,13,"99037",24,2018,16365,146.654445463,37044444.1796875,36096.2217659252
"15",15,"99201","5399201",13342,14,"99201",6,2018,15563,38.5529782176,18186263.46875,25064.9493216904
"16",16,"99202","5399202",21580,15,"99202",56,2018,21482,260.683362815,35595941.7890625,29643.8785469453
"17",17,"99203","5399203",20192,16,"99203",8,2018,20512,39.0015600624,26718581.2421875,28667.0648337642
"18",18,"99204","5399204",6681,17,"99204",4,2018,6703,59.6747724899,6429235.8046875,16590.5371020664
"19",19,"99205","5399205",42137,18,"99205",21,2018,42132,49.8433494731,51754330.6875,37757.8763013481
"20",20,"99206","5399206",34802,19,"99206",25,2018,36912,67.7286519289,133951746.90625,75859.1490893284
"21",21,"99207","5399207",30854,20,"99207",40,2018,31048,128.832775058,31466114.0703125,31722.7239154209
"22",22,"99208","5399208",49193,21,"99208",52,2018,54044,96.2178965288,282376653.039063,141777.963870613
"23",23,"99212","5399212",19197,22,"99212",21,2018,20216,103.878116343,70066342.265625,45987.2545721695
"24",24,"99216","5399216",24362,23,"99216",11,2018,25727,42.7566369962,76871005.2578125,54910.8288727758
"25",25,"99217","5399217",17423,24,"99217",14,2018,18934,73.9410584134,292471953.257813,144096.046654348
"26",26,"99218","5399218",15531,25,"99218",23,2018,14156,162.475275502,41888248.71875,39501.1335491744
"27",27,"99223","5399223",29273,26,"99223",19,2018,31702,59.9331272475,163001184.96875,81043.4064875737
"28",28,"99224","5399224",18289,27,"99224",18,2018,23008,78.2336578581,669778516.703125,232184.959620421
