"","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","Shape__Area","Shape__Length","ID","sourceCountry","ENRICH_FID","aggregationMethod","populationToPolygonSizeRating","apportionmentConfidence","HasData","TOTPOP_CY","zip","frequency","ObjectId"
"1","49287","49287","B5","G6350","S",72894074,1463285,"+42.0230299","-084.0734852",7525318.84375,13540.03495691,"5","US",6,"BlockApportionment:US.BlockGroups",2.191,2.576,1,115,"49287",0,1
"2","49285","49285","B5","G6350","S",192446477,2173745,"+42.4765472","-084.2130341",9661576.31640625,14018.98473285,"6","US",7,"BlockApportionment:US.BlockGroups",2.191,2.576,1,91,"49285",0,2
"3","48167","48167","B5","G6350","S",46056562,518242,"+42.4324264","-083.5243602",18258649.1601562,22442.8418019,"7","US",8,"BlockApportionment:US.BlockGroups",2.191,2.576,1,1458,"48167",6,3
"4","48109","48109","B5","G6350","S",2529780,0,"+42.2891865","-083.7087803",4624972.5078125,23633.20669778,"8","US",9,"BlockApportionment:US.BlockGroups",2.191,2.576,1,8338,"48109",0,4
"5","48168","48168","B5","G6350","S",52818045,630435,"+42.4052615","-083.5404983",45701308.4804688,36877.34166133,"9","US",10,"BlockApportionment:US.BlockGroups",2.191,2.576,1,1417,"48168",5,5
"6","48191","48191","B5","G6350","S",42127177,166737,NA,NA,67671977.3242188,41259.17590162,"10","US",11,"BlockApportionment:US.BlockGroups",2.191,2.576,1,4222,"48191",24,6
"7","48111","48111","B5","G6350","S",174808764,5898882,"+42.1773124","-083.4884438",4278443.25,41714.31846463,"11","US",12,"BlockApportionment:US.BlockGroups",2.191,2.576,1,218,"48111",0,7
"8","48170","48170","B5","G6350","S",88466855,527938,"+42.3676895","-083.5343063",73184376.828125,43584.43278044,"12","US",13,"BlockApportionment:US.BlockGroups",2.191,2.576,1,2035,"48170",11,8
"9","48169","48169","B5","G6350","S",149369239,13685369,"+42.4619251","-083.9473817",22278814.9921875,44555.14296387,"13","US",14,"BlockApportionment:US.BlockGroups",2.191,2.576,1,1040,"48169",0,9
"10","48104","48104","B5","G6350","S",20144346,640290,"+42.2634889","-083.7151240",37975425.1796875,48747.23303338,"14","US",15,"BlockApportionment:US.BlockGroups",2.191,2.576,1,42601,"48104",103,10
"11","48137","48137","B5","G6350","S",110034398,6185826,"+42.4719749","-084.0745650",59227537.984375,49462.32643757,"15","US",16,"BlockApportionment:US.BlockGroups",2.191,2.576,1,1440,"48137",2,11
"12","48178","48178","B5","G6350","S",130950899,5063453,"+42.4437691","-083.6569130",81641885.7070312,56196.27439835,"16","US",17,"BlockApportionment:US.BlockGroups",2.191,2.576,1,2256,"48178",7,12
"13","48198","48198","B5","G6350","S",86976345,2260100,"+42.2750750","-083.5863399",163048345.875,66825.64775473,"17","US",18,"BlockApportionment:US.BlockGroups",2.191,2.576,1,40000,"48198",366,13
"14","49240","49240","B5","G6350","S",273777597,9651350,"+42.2833026","-084.1813753",78594078.65625,68140.93897475,"18","US",19,"BlockApportionment:US.BlockGroups",2.191,2.576,1,823,"49240",1,14
"15","49236","49236","B5","G6350","S",97284370,603831,"+42.0760333","-083.9423486",83754545.703125,68983.06262504,"19","US",20,"BlockApportionment:US.BlockGroups",2.191,2.576,1,654,"49236",1,15
"16","48108","48108","B5","G6350","S",43938151,120822,"+42.2216949","-083.7322818",80393181.375,70700.00567458,"20","US",21,"BlockApportionment:US.BlockGroups",2.191,2.576,1,27729,"48108",89,16
"17","48160","48160","B5","G6350","S",208520503,959928,"+42.0782298","-083.6750710",176914619.894531,73812.81035236,"21","US",22,"BlockApportionment:US.BlockGroups",2.191,2.576,1,9708,"48160",27,17
"18","48189","48189","B5","G6350","S",88922645,5785414,"+42.4123364","-083.7828545",118742067.863281,74806.22271973,"22","US",23,"BlockApportionment:US.BlockGroups",2.191,2.576,1,7571,"48189",36,18
"19","48197","48197","B5","G6350","S",108574120,3206694,"+42.1940339","-083.6399843",203803364.445312,86583.02330923,"23","US",24,"BlockApportionment:US.BlockGroups",2.191,2.576,1,66000,"48197",361,19
"20","48130","48130","B5","G6350","S",161127862,2626414,"+42.3641408","-083.9093600",300044126.222656,108496.51287885,"24","US",25,"BlockApportionment:US.BlockGroups",2.191,2.576,1,15867,"48130",34,20
"21","48176","48176","B5","G6350","S",192533032,1051625,"+42.1368357","-083.8292500",351253072.242188,116944.62329491,"25","US",26,"BlockApportionment:US.BlockGroups",2.191,2.576,1,23200,"48176",72,21
"22","48103","48103","B5","G6350","S",168539979,1223202,"+42.2613504","-083.8464579",310130688.1875,122603.67876861,"26","US",27,"BlockApportionment:US.BlockGroups",2.191,2.576,1,55641,"48103",160,22
"23","48158","48158","B5","G6350","S",243165119,3968362,"+42.1557015","-084.0292418",440949788.398438,127206.10750362,"27","US",28,"BlockApportionment:US.BlockGroups",2.191,2.576,1,7434,"48158",10,23
"24","48105","48105","B5","G6350","S",129235677,2046391,"+42.3276344","-083.6964436",240374713.796875,131251.4296917,"28","US",29,"BlockApportionment:US.BlockGroups",2.191,2.576,1,36013,"48105",112,24
"25","48118","48118","B5","G6350","S",227249012,10811853,"+42.3122055","-084.0340999",435546379.390625,131464.39134842,"29","US",30,"BlockApportionment:US.BlockGroups",2.191,2.576,1,13278,"48118",49,25
